,index,Report date,Cases
536,528,2021-08-15,0
537,527,2021-08-16,0
538,526,2021-08-17,0
539,525,2021-08-18,0
540,524,2021-08-19,3
541,523,2021-08-20,8
542,522,2021-08-21,12
543,521,2021-08-22,13
544,520,2021-08-23,26
545,519,2021-08-24,22
546,518,2021-08-25,46
547,517,2021-08-26,46
548,516,2021-08-27,46
549,515,2021-08-28,57
550,514,2021-08-29,30
551,513,2021-08-30,34
552,512,2021-08-31,28
553,511,2021-09-01,32
554,510,2021-09-02,17
555,509,2021-09-03,8
556,508,2021-09-04,16
557,507,2021-09-05,8
558,506,2021-09-06,19
559,505,2021-09-07,9
560,504,2021-09-08,3
561,503,2021-09-09,9
562,502,2021-09-10,20
563,501,2021-09-11,15
564,500,2021-09-12,36
565,499,2021-09-13,12
566,498,2021-09-14,7
567,497,2021-09-15,15
568,496,2021-09-16,9
569,495,2021-09-17,15
570,494,2021-09-18,21
571,493,2021-09-19,19
572,492,2021-09-20,8
573,491,2021-09-21,18
574,490,2021-09-22,9
575,489,2021-09-23,10
576,488,2021-09-24,8
577,487,2021-09-25,13
578,486,2021-09-26,12
579,485,2021-09-27,4
580,484,2021-09-28,30
581,483,2021-09-29,18
582,482,2021-09-30,12
