,index,Report date,Cases
531,533,2021-08-10,3
532,532,2021-08-11,8
533,531,2021-08-12,0
534,530,2021-08-13,3
535,529,2021-08-14,3
536,528,2021-08-15,4
537,527,2021-08-16,0
538,526,2021-08-17,12
539,525,2021-08-18,12
540,524,2021-08-19,20
541,523,2021-08-20,22
542,522,2021-08-21,31
543,521,2021-08-22,39
544,520,2021-08-23,40
545,519,2021-08-24,62
546,518,2021-08-25,67
547,517,2021-08-26,81
548,516,2021-08-27,78
549,515,2021-08-28,78
550,514,2021-08-29,56
551,513,2021-08-30,63
552,512,2021-08-31,58
553,511,2021-09-01,48
554,510,2021-09-02,29
555,509,2021-09-03,24
556,508,2021-09-04,27
557,507,2021-09-05,19
558,506,2021-09-06,27
559,505,2021-09-07,14
560,504,2021-09-08,22
561,503,2021-09-09,13
562,502,2021-09-10,25
563,501,2021-09-11,18
564,500,2021-09-12,42
565,499,2021-09-13,17
566,498,2021-09-14,11
567,497,2021-09-15,20
568,496,2021-09-16,14
569,495,2021-09-17,23
570,494,2021-09-18,24
571,493,2021-09-19,25
572,492,2021-09-20,11
573,491,2021-09-21,25
574,490,2021-09-22,17
575,489,2021-09-23,12
576,488,2021-09-24,12
577,487,2021-09-25,23
578,486,2021-09-26,15
579,485,2021-09-27,9
580,484,2021-09-28,45
581,483,2021-09-29,27
582,482,2021-09-30,18
