,index,Report date,Cases
537,527,2021-08-16,0
538,526,2021-08-17,5
539,525,2021-08-18,3
540,524,2021-08-19,9
541,523,2021-08-20,4
542,522,2021-08-21,5
543,521,2021-08-22,11
544,520,2021-08-23,7
545,519,2021-08-24,22
546,518,2021-08-25,5
547,517,2021-08-26,14
548,516,2021-08-27,13
549,515,2021-08-28,14
550,514,2021-08-29,17
551,513,2021-08-30,14
552,512,2021-08-31,20
553,511,2021-09-01,4
554,510,2021-09-02,2
555,509,2021-09-03,10
556,508,2021-09-04,5
557,507,2021-09-05,2
558,506,2021-09-06,4
559,505,2021-09-07,3
560,504,2021-09-08,8
561,503,2021-09-09,0
562,502,2021-09-10,1
563,501,2021-09-11,0
564,500,2021-09-12,3
565,499,2021-09-13,2
566,498,2021-09-14,0
567,497,2021-09-15,1
568,496,2021-09-16,0
569,495,2021-09-17,1
570,494,2021-09-18,0
571,493,2021-09-19,0
572,492,2021-09-20,1
573,491,2021-09-21,2
574,490,2021-09-22,0
575,489,2021-09-23,0
576,488,2021-09-24,2
577,487,2021-09-25,7
578,486,2021-09-26,0
579,485,2021-09-27,1
580,484,2021-09-28,6
581,483,2021-09-29,0
